Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1206_3216Metric,1,10nF/400V,
D1,TO-220-3_Vertical,1,BTB10-800CWRG,
D2,Diode_Bridge_Diotec_ABS,1,ABS8,
HS1,Heatsink_Fischer_SK104-STC-STIC_35x13mm,1,Heatsink,
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J2,TerminalBlock_bornier-2_P5.08mm,1,IN_AC,
J3,TerminalBlock_bornier-2_P5.08mm,1,RESISTENCIA,
LD1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,ON,
R1,R_0603_1608Metric,1,270,
R2,R_0603_1608Metric,1,330,
R3,R_2512_6332Metric,1,1K,
R4,R_2512_6332Metric,1,39 *,
"R6, R7",R_2512_6332Metric,2,120K,
R9,R_0603_1608Metric,1,10K,
U1,DIP-6_W7.62mm,1,MOC3021M,
U3,DIP-6_W7.62mm,1,4N25,
